Quat_X	Quat_Y	Quat_Z	Quat_W	Roll(deg)	Pitch(deg)	Yaw(deg)
0.000943	0.011745	-0.601046	0.799128	-0.722743	1.140552	-73.902845
0.000943	0.011745	-0.601046	0.799128	-0.722743	1.140552	-73.902845
0.000943	0.011745	-0.601046	0.799128	-0.722743	1.140552	-73.902845
0.000621	0.010995	-0.600974	0.799193	-0.700451	1.049755	-73.890996
0.002842	0.012361	-0.602003	0.798393	-0.592875	1.327069	-74.040796
0.002842	0.012361	-0.602003	0.798393	-0.592875	1.327069	-74.040796
0.002842	0.012361	-0.602003	0.798393	-0.592875	1.327069	-74.040796
0.002842	0.012361	-0.602003	0.798393	-0.592875	1.327069	-74.040796
0.002533	0.012382	-0.601295	0.798927	-0.621438	1.308222	-73.939397
0.002285	0.012485	-0.602891	0.797722	-0.653847	1.299256	-74.168895
0.002285	0.012485	-0.602891	0.797722	-0.653847	1.299256	-74.168895
0.002285	0.012485	-0.602891	0.797722	-0.653847	1.299256	-74.168895
0.002285	0.012485	-0.602891	0.797722	-0.653847	1.299256	-74.168895
0.003345	0.012963	-0.602805	0.797776	-0.589833	1.416262	-74.157178
0.002788	0.012938	-0.603633	0.797153	-0.640459	1.374828	-74.276322
0.002788	0.012938	-0.603633	0.797153	-0.640459	1.374828	-74.276322
0.002788	0.012938	-0.603633	0.797153	-0.640459	1.374828	-74.276322
0.002788	0.012938	-0.603633	0.797153	-0.640459	1.374828	-74.276322
0.003496	0.013283	-0.603159	0.797503	-0.598795	1.455684	-74.208724
0.004189	0.013341	-0.604042	0.796830	-0.541137	1.508295	-74.335475
0.004189	0.013341	-0.604042	0.796830	-0.541137	1.508295	-74.335475
0.004189	0.013341	-0.604042	0.796830	-0.541137	1.508295	-74.335475
0.004189	0.013341	-0.604042	0.796830	-0.541137	1.508295	-74.335475
0.004690	0.013668	-0.603829	0.796983	-0.517615	1.572980	-74.305412
0.004306	0.012737	-0.604863	0.796216	-0.490117	1.460736	-74.452087
0.004306	0.012737	-0.604863	0.796216	-0.490117	1.460736	-74.452087
0.004306	0.012737	-0.604863	0.796216	-0.490117	1.460736	-74.452087
0.004306	0.012737	-0.604863	0.796216	-0.490117	1.460736	-74.452087
0.005663	0.013460	-0.604688	0.796328	-0.416080	1.620877	-74.427990
0.003816	0.013171	-0.605526	0.795708	-0.566157	1.465894	-74.548802
0.003816	0.013171	-0.605526	0.795708	-0.566157	1.465894	-74.548802
0.003816	0.013171	-0.605526	0.795708	-0.566157	1.465894	-74.548802
0.003816	0.013171	-0.605526	0.795708	-0.566157	1.465894	-74.548802
0.004950	0.013770	-0.605002	0.796090	-0.503286	1.599552	-74.474285
0.003817	0.013547	-0.606066	0.795290	-0.593197	1.499848	-74.627581
0.003817	0.013547	-0.606066	0.795290	-0.593197	1.499848	-74.627581
0.003817	0.013547	-0.606066	0.795290	-0.593197	1.499848	-74.627581
0.003817	0.013547	-0.606066	0.795290	-0.593197	1.499848	-74.627581
0.005180	0.014220	-0.606291	0.795099	-0.516210	1.655722	-74.661053
0.003288	0.012849	-0.606461	0.795003	-0.593594	1.399191	-74.683005
0.003288	0.012849	-0.606461	0.795003	-0.593594	1.399191	-74.683005
0.003288	0.012849	-0.606461	0.795003	-0.593594	1.399191	-74.683005
0.003288	0.012849	-0.606461	0.795003	-0.593594	1.399191	-74.683005
0.004987	0.013900	-0.606379	0.795038	-0.511725	1.613096	-74.673056
0.003337	0.013015	-0.607135	0.794485	-0.601877	1.417210	-74.780619
0.003337	0.013015	-0.607135	0.794485	-0.601877	1.417210	-74.780619
0.003337	0.013015	-0.607135	0.794485	-0.601877	1.417210	-74.780619
